행정동_코드,기준_년분기_코드,점포수_대비_매출액_log,음식_지출_총금액_log,의료비_지출_총금액_log,교육_지출_총금액_log,아파트_평균_시가_log,아파트_단지_수_log,유동인구_10_30대_log,유동인구_40_이상_log,총_직장인구_수_log,총_상주인구_수,집객시설_수_log,상권_변화_지표_LL,상권_변화_지표_HL,상권_변화_지표_LH,개업_률,폐업_률,1인_가구비_log,20_30_인구비_log,31_50_인구비_log,업소수_log,착한가격_업소수_비중,착한가격_업소수_비중_log,분기_20241,분기_20242,분기_20243,분기_20244,업소수,점포_수,행정동
11380580,20241,0.5615465735340214,-0.3806678180802897,0.3264092996308041,0.5039109905405657,-0.9359292365432382,1.074375890569266,0.17704381882802261,0.2851666462517059,-0.281186533527557,1.2224841851600063,0.377783854388552,True,False,False,1.4473873436703757,0.5469600024873738,0.2631264322009019,-0.019026988507449338,0.46181836832971207,1.3862943611198906,0.014,0.013902905168991422,True,False,False,False,3.0,221,응암1동
11380580,20242,0.6809832762919251,0.7475051706502438,1.1944556454850632,1.3819910529255757,-0.9359292365432382,1.074375890569266,-0.0053505917993680345,0.05989553815777324,-0.281186533527557,1.2224841851600063,0.377783854388552,True,False,False,0.9254557138304286,0.5469600024873738,0.2614590017688292,-0.2195567890717768,0.3109622823687703,1.791759469228055,0.023,0.02273948696948943,False,True,False,False,5.0,222,응암1동
11380580,20243,0.4856864051376439,-0.24364501987879839,0.3712087340509231,0.5660599661847354,-0.9359292365432382,1.074375890569266,0.001177885449381114,0.07704549505353357,-0.281186533527557,1.2224841851600063,0.377783854388552,True,False,False,0.9254557138304286,-0.49358463001124164,0.2528973016455654,-0.2703495694765818,0.18484101333399464,1.791759469228055,0.022,0.02176149178151269,False,False,True,False,5.0,229,응암1동
11380580,20244,0.5078673373,0.7236203878193914,1.2209642270255923,1.3719196916963599,-0.9359292365432382,1.074375890569266,0.0901896257499741,0.1395651225709094,-0.09502556725436599,1.2224841851600063,0.377783854388552,True,False,False,0.4035240839904823,2.107776951235296,0.3082157850824613,-0.24739501758754656,0.07551279571697138,1.791759469228055,0.022,0.02176149178151269,False,False,False,True,5.0,224,응암1동
11380590,20234,-2.670469300272282,-0.9049411308293044,-0.6390255412429037,0.6921601135279076,-0.0874311083681263,0.043106130370233246,-0.40798890760551876,-0.32557454056748963,-1.2443303107497437,0.5858562913702108,-0.47717480259340883,True,False,False,0.4035240839904823,-1.0138569462605491,-0.913801006989837,-0.6256622754727249,1.2478768696149596,0.0,0.0,0.0,False,False,False,False,0.0,106,응암2동
11380590,20241,-2.70235350876845,-1.988490013446573,-1.414162823670791,-0.11173736275183929,-0.0874311083681263,0.043106130370233246,-0.3582033410682453,-0.3095353918126517,-1.2443303107497437,0.5858562913702108,-0.47717480259340883,True,False,False,1.969318973510322,2.6280492674846037,-0.8864867440693069,-0.8208579190622545,1.3100883185884478,0.6931471805599453,0.01,0.009950330853168083,True,False,False,False,1.0,105,응암2동
11380590,20242,-2.345383330169362,-0.9283508426874869,-0.580659597476621,0.7320844687922506,-0.0874311083681263,0.043106130370233246,-0.43047301478209604,-0.4146655058625611,-1.2443303107497437,0.5858562913702108,-0.47717480259340883,True,False,False,0.4035240839904823,1.5875046349859891,-0.87051742890943,-1.2037836507983684,1.5834030220114717,1.3862943611198906,0.029,0.028587456851912555,False,True,False,False,3.0,103,응암2동
11380590,20243,-2.6202253382718057,-1.913848858352186,-1.3916326248934168,-0.04835894778052754,-0.0874311083681263,0.043106130370233246,-0.3707458431943753,-0.38668632048927154,-1.2443303107497437,0.5858562913702108,-0.47717480259340883,True,False,False,-0.6403391756894111,-1.5341292625098566,-0.8670029756450335,-1.0131234047590945,1.2566564067922403,1.3862943611198906,0.029,0.028587456851912555,False,False,True,False,3.0,105,응암2동
11380590,20244,-2.6783902799934927,-0.9083599785176971,-0.5580782999449988,0.7760344770783043,-0.0874311083681263,0.043106130370233246,-0.4038721495691266,-0.4316084215229228,-1.1659835204168287,0.5858562913702108,-0.47717480259340883,True,False,False,3.013182233190215,3.1483215837339116,-0.7739968773152687,-1.155170633603976,1.2550698134891813,1.3862943611198906,0.029,0.028587456851912555,False,False,False,True,3.0,105,응암2동
11380600,20234,-0.05318497243225866,0.8432117884055357,0.4037137128114946,0.12804418479119498,-1.3281397091999338,1.3473592620374444,0.8094817028943636,1.2460967590963121,-0.6001512715272933,0.12003100323133598,0.46092676167623253,False,True,False,1.4473873436703757,1.067232318736681,0.6011073960215384,-0.19008747137657747,-0.17963912430860035,0.0,0.0,0.0,False,False,False,False,0.0,295,응암3동
11380600,20241,-0.20372082526412089,-0.19146763853326823,-0.4090808519420984,-0.6046698834596562,-1.3281397091999338,1.3473592620374444,0.8409585993052965,1.2803324149035167,-0.6001512715272933,0.12003100323133598,0.46092676167623253,False,True,False,1.969318973510322,0.026687686238066048,0.6144876466252861,-0.23867955272029237,-0.2685708277315304,1.3862943611198906,0.01,0.009950330853168083,True,False,False,False,3.0,305,응암3동
11380600,20242,-0.1289886092972094,0.9214789355610209,0.38343004757175614,0.257512176167686,-1.3281397091999338,1.3473592620374444,0.7942768157743819,1.262417887432312,-0.6001512715272933,0.12003100323133598,0.46092676167623253,False,True,False,-0.11840754584946443,-0.49358463001124164,0.6158594538298988,-0.33514657015969723,-0.43264400376858086,1.6094379124341003,0.013,0.012916225266546328,False,True,False,False,4.0,309,응암3동
11380600,20243,-0.3358470717296768,-0.08837102077220547,-0.43071176644419945,-0.5541171702199084,-1.3281397091999338,1.3473592620374444,0.6991564049410968,1.182142081902908,-0.6001512715272933,0.12003100323133598,0.46092676167623253,False,True,False,0.9254557138304286,0.026687686238066048,0.6037018268588072,-0.41171457258580074,-0.571982919538488,1.6094379124341003,0.013,0.012916225266546328,False,False,True,False,4.0,317,응암3동
11380600,20244,-0.23130178818182012,0.8840728910812781,0.41014899012644623,0.33756544329605337,-1.3281397091999338,1.3473592620374444,0.702495239500461,1.1477907139763304,-0.4122452458041407,0.12003100323133598,0.46092676167623253,False,True,False,-0.6403391756894111,-0.49358463001124164,0.6365622409717084,-0.45820808634446,-0.662809469139881,1.6094379124341003,0.013,0.012916225266546328,False,False,False,True,4.0,316,응암3동
11380625,20234,-1.0660063910787838,0.8119897668418133,0.7762232462750213,0.9568508717018063,-1.058304433431714,2.3892564067606705,1.4697895617546084,1.8381915311727637,0.02818504967571801,2.549250159684781,1.008904485385436,True,False,False,0.9254557138304286,-0.49358463001124164,-0.3175136193972178,0.10018086611449294,0.5603420458178601,0.0,0.0,0.0,False,False,False,False,0.0,356,역촌동
11380625,20241,-1.2892696379843918,-0.22313347240128498,-0.04361510570680528,0.09646311722744197,-1.058304433431714,2.3892564067606705,1.523297180520776,1.8655864994016986,0.02818504967571801,2.549250159684781,1.008904485385436,True,False,False,-0.11840754584946443,-0.49358463001124164,-0.2690719040623623,-0.0237398471685548,0.35551230708730336,1.6094379124341003,0.011,0.010939940038334364,True,False,False,False,4.0,360,역촌동
11380625,20242,-1.1521122576063034,0.88154517398035,0.7966949861675293,0.9693424585002145,-1.058304433431714,2.3892564067606705,1.4500186803332595,1.8320843656310197,0.02818504967571801,2.549250159684781,1.008904485385436,True,False,False,0.4035240839904823,0.026687686238066048,-0.2280058268954141,-0.19780723477660625,0.06682417913544879,1.791759469228055,0.014,0.013902905168991422,False,True,False,False,5.0,362,역촌동
11380625,20243,-1.2125072029869028,-0.09261628544426774,-0.05584675140253472,0.15680433433086252,-1.058304433431714,2.3892564067606705,1.3753369106106843,1.7657350746660982,0.02818504967571801,2.549250159684781,1.008904485385436,True,False,False,0.4035240839904823,1.067232318736681,-0.2354303921860086,-0.2166091230160149,0.022548600514711636,1.791759469228055,0.014,0.013902905168991422,False,False,True,False,5.0,358,역촌동
11380625,20244,-1.1234064707552003,0.8282893746004913,0.7389414542066988,0.9475649826008418,-1.058304433431714,2.3892564067606705,1.3424912656677113,1.748383711336957,0.1836245027371305,2.549250159684781,1.008904485385436,True,False,False,-0.11840754584946443,0.026687686238066048,-0.1781196370361498,-0.25370908325474556,-0.050580631854328026,1.9459101490553132,0.017,0.0168571170664229,False,False,False,True,6.0,358,역촌동
11380631,20234,-0.013702020139339155,0.3740465518031215,-0.023256073494036612,-0.006744731067193443,-0.9857333853635128,1.4860669442780852,0.33451599845258756,0.5634786167261772,-0.5667107010577586,0.4822997465454917,-0.40410081529390895,True,False,False,-0.11840754584946443,0.026687686238066048,-0.5417239450757003,0.18680177144627488,0.40728846332682445,0.0,0.0,0.0,False,False,False,False,0.0,138,신사1동
11380631,20241,-0.3106098691539733,-0.6785159304500132,-0.7679352656919406,-0.8413584902760433,-0.9857333853635128,1.4860669442780852,0.4145076727650776,0.6484207882457773,-0.5667107010577586,0.4822997465454917,-0.40410081529390895,True,False,False,2.4912506033502684,-0.49358463001124164,-0.47778895596643256,-0.040352492124634015,0.0385882815571457,0.6931471805599453,0.007,0.006975613736425242,True,False,False,False,1.0,147,신사1동
11380631,20242,-0.12320594686465842,0.44138459716961487,0.07458578043555301,0.11747906870257269,-0.9857333853635128,1.4860669442780852,0.35520594689570745,0.648503033615378,-0.5667107010577586,0.4822997465454917,-0.40410081529390895,True,False,False,0.4035240839904823,0.5469600024873738,-0.4457913339918356,-0.256131824965026,-0.31761827766965783,1.0986122886681098,0.014,0.013902905168991422,False,True,False,False,2.0,146,신사1동
11380631,20243,-0.43750314343903957,-0.5275990023801445,-0.7822649522280263,-0.7560806316684155,-0.9857333853635128,1.4860669442780852,0.3103386920096606,0.5906041000654496,-0.5667107010577586,0.4822997465454917,-0.40410081529390895,True,False,False,-0.11840754584946443,1.067232318736681,-0.4586819603370511,-0.25427563821335936,-0.3299897985342505,1.0986122886681098,0.014,0.013902905168991422,False,False,True,False,2.0,144,신사1동
11380631,20244,-0.09834073434215279,0.44572263647417837,0.10745411185126202,-0.10207579512220845,-0.9857333853635128,1.4860669442780852,0.22518383816921392,0.5386558964188066,-0.43438366697364345,0.4822997465454917,-0.40410081529390895,True,False,False,-0.11840754584946443,-0.49358463001124164,-0.4187543092969012,-0.20650256975620213,-0.2678782831536039,1.0986122886681098,0.014,0.013902905168991422,False,False,False,True,2.0,145,신사1동
11380632,20234,-1.8919357662279273,-0.9986900847970067,-0.941665422978267,0.17387964685984733,-1.048657184471083,0.7361135568224936,-1.061884346562603,-0.8972741681992503,-0.8393427370020339,-0.42008744624661065,-0.7117941731794859,True,False,False,0.4035240839904823,-0.49358463001124164,-0.4504022803611879,-0.2066540932364038,0.3421159515791069,0.0,0.0,0.0,False,False,False,False,0.0,63,신사2동
