기준_년분기_코드,행정동_코드,행정동,당월_매출_금액,행정동_코드_명_y,점포_수,개업_점포_수,폐업_점포_수,개업_률,폐업_률,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,운영_영업_개월_차이,폐업_영업_개월_차이,월_평균_소득_금액,음식_지출_총금액,의료비_지출_총금액,교육_지출_총금액,아파트_단지_수,아파트_평균_시가,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,집객시설_수,총_상주인구_수,행정동코드,총인구수_합,1인가구수_합,1인_가구비,20_30_인구비,31_50_인구비,51_75_인구비,행정동_명,업소수,전분기대비_유지율,전분기대비_증감업소수,총_유동인구_수,점포수_대비_매출액,유동인구_10_30대,유동인구_40_이상,총_직장인구_수,착한가격_업소수_비중
20233,11140570,필동,16833027106,필동,286,18,13,0.06,0.05,HH,정체,121,58,20,7,3033044,2512168000,371957000,188869000,31,248890227,1143192,983809,150863,463996,416987,387650,355526,351980,5839.0,6559.0,0.0,1788.0,3149.0,3821.0,2713.0,927.0,123,3851,1102057.0,4390.0,1852.0,0.4218678815489749,0.406378132118451,0.2845102505694761,0.3091116173120729,필동,1.0,1.0,1.0,2127001,58856738,1031846,1095156,12398.0,0.003
20233,11140580,장충동,8953202545,장충동,113,7,1,0.06,0.01,HH,정체,128,60,27,9,2895026,1281884000,14742000,81760000,160,186105513,1148857,1119737,155002,609594,415619,368234,327634,392510,3153.0,2808.0,7.0,1369.0,1643.0,1547.0,1141.0,254.0,63,4951,1102058.0,5753.0,2325.0,0.4041369720146011,0.4797496958108813,0.2775942986268034,0.2426560055623153,,0.0,0.0,0.0,2268594,79231880,1180215,1088378,5961.0,0.0
20233,11140590,광희동,26366827964,광희동,476,15,19,0.03,0.04,HH,정체,133,57,32,6,3229604,2337378000,711089000,36757000,10,193927273,3131211,3002057,353443,1272231,1334958,1102011,986510,1084115,27160.0,27371.0,496.0,15661.0,14374.0,11209.0,8625.0,4166.0,185,4896,1102059.0,5084.0,2116.0,0.4162077104642014,0.2883556254917387,0.3294649881982691,0.3821793863099921,광희동,3.0,1.0,3.0,6133268,55392495,2960632,3172636,54531.0,0.006
20233,11140605,을지로동,31781707118,을지로동,389,26,20,0.07,0.05,HH,정체,149,69,48,18,3082514,3955920000,890322000,70497000,1,457909091,3043553,2332918,194530,848765,1099447,1083154,1040617,1109960,8617.0,7166.0,1.0,3824.0,3833.0,3449.0,2759.0,1917.0,145,1457,1102060.0,1586.0,961.0,0.6059268600252207,0.2515762925598991,0.3568726355611601,0.3915510718789407,을지로동,2.0,1.0,2.0,5376471,81701046,2142742,3233731,15783.0,0.005
20233,11140615,신당동,13327294473,신당동,271,12,7,0.04,0.03,LH,상권확장,96,63,-5,12,2816850,2351885000,403398000,59523000,36,202648861,2864916,3089357,385809,1080887,1220034,1017373,1013226,1236943,2465.0,2083.0,4.0,1364.0,968.0,858.0,815.0,539.0,99,7105,1102069.0,10573.0,3833.0,0.3625271919039062,0.264730918376998,0.4808474415965194,0.2544216400264825,신당동,1.0,1.0,1.0,5954273,49178208,2686730,3267542,4548.0,0.004
20233,11140625,다산동,12412178180,다산동,140,7,6,0.05,0.04,HH,정체,110,55,9,4,2679845,1459793000,630097000,92715000,374,207881680,1958395,2180551,503565,627508,778280,678642,618853,932098,4180.0,2406.0,0.0,1159.0,2129.0,1605.0,1147.0,546.0,86,15434,1102070.0,13053.0,2630.0,0.2014862483720217,0.300926989963993,0.372328200413698,0.326744809622309,다산동,2.0,1.0,2.0,4138946,88658415,1909353,2229593,6586.0,0.014
20233,11140635,약수동,6499481682,약수동,102,6,4,0.06,0.04,HH,정체,106,56,5,5,3894878,694875000,440527000,62111000,125,382587628,940752,1092253,250510,246818,362825,322061,307700,543090,4643.0,7371.0,23.0,1932.0,4496.0,3330.0,1644.0,589.0,87,18461,1102071.0,15327.0,2559.0,0.1669602661969074,0.2445357865205193,0.3803745025119071,0.3750897109675735,,0.0,0.0,0.0,2033005,63720408,860153,1172851,12014.0,0.0
20233,11140645,청구동,1423273974,청구동,53,2,0,0.04,0.0,HL,상권축소,105,51,4,0,3566241,400518000,97548000,179244000,74,433917253,1515993,1776417,540986,403325,562036,505944,495558,784564,1239.0,1025.0,0.0,331.0,599.0,533.0,485.0,316.0,34,15318,1102072.0,12456.0,2115.0,0.1697976878612716,0.2750481695568401,0.3815028901734104,0.3434489402697495,,0.0,0.0,0.0,3292410,26854225,1506347,1786066,2264.0,0.0
20233,11140650,신당5동,8900697511,신당5동,182,10,11,0.05,0.06,HL,상권축소,104,50,3,-1,3027979,1066976000,324012000,15483000,64,382417416,1725235,1967550,429223,559816,642200,569970,619728,871847,352.0,300.0,0.0,38.0,151.0,183.0,164.0,116.0,65,9927,1102065.0,8568.0,2060.0,0.2404295051353875,0.2559523809523809,0.4142156862745098,0.3298319327731092,신당제5동,1.0,1.0,1.0,3692785,48904931,1631239,2061545,652.0,0.005
20233,11140665,동화동,2436389409,동화동,84,4,4,0.05,0.05,HL,상권축소,105,50,4,-1,3621349,439261000,194026000,55396000,59,562530704,1452199,1653428,371857,397302,475129,491976,564193,805171,507.0,627.0,0.0,181.0,272.0,296.0,245.0,140.0,47,11648,1102073.0,9084.0,1006.0,0.11074416556583,0.257815940114487,0.4139145750770586,0.3282694848084544,동화동,2.0,1.0,2.0,3105627,29004635,1244288,1861340,1134.0,0.024
20233,11140670,황학동,13683014183,황학동,229,6,11,0.03,0.05,HH,정체,124,65,23,14,3247840,1379307000,643879000,24081000,29,320745114,2827270,3128904,604887,960001,1228482,949623,862381,1350800,532.0,201.0,0.0,98.0,220.0,206.0,134.0,75.0,76,11965,1102067.0,11083.0,3364.0,0.3035279256518993,0.3084002526391771,0.379861048452585,0.3117386989082378,황학동,1.0,1.0,1.0,5956174,59751153,2793370,3162804,733.0,0.004
20233,11140680,중림동,8116894594,중림동,145,2,7,0.01,0.05,HH,정체,116,57,15,6,4435938,1041877000,422829000,69052000,88,368461445,924996,982068,171288,242364,397762,379548,315563,400536,1485.0,1179.0,0.0,560.0,855.0,695.0,366.0,188.0,77,8328,1102068.0,7168.0,1281.0,0.1787109375,0.2508370535714285,0.3857421875,0.3634207589285714,중림동,3.0,1.0,3.0,1907064,55978583,811414,1095647,2664.0,0.021
20233,11170510,후암동,6713399138,후암동,141,6,5,0.04,0.04,HH,정체,102,57,1,6,3013677,718737000,86958000,71092000,370,292755194,1936691,2120692,530352,522809,756648,691335,609278,946962,1095.0,738.0,0.0,264.0,416.0,521.0,436.0,196.0,80,18208,1103051.0,15070.0,3131.0,0.2077637690776377,0.2783676177836762,0.4020570670205706,0.3195753151957531,,0.0,0.0,0.0,4057383,47612759,1809809,2247575,1833.0,0.0
20233,11170520,용산2가동,3987640212,용산2가동,143,6,10,0.04,0.07,LL,다이나믹,90,47,-11,-4,2540319,1061242000,46844000,32116000,281,204859436,2168577,2530000,616889,741900,954494,759603,555291,1070402,314.0,112.0,0.0,11.0,73.0,171.0,161.0,10.0,63,10876,1103052.0,10558.0,2651.0,0.2510892214434552,0.3042242849024436,0.3602955105133548,0.3354802045842016,용산2가동,2.0,1.0,2.0,4698577,27885595,2313283,2385296,426.0,0.014
20233,11170530,남영동,28150618539,남영동,362,2,8,0.01,0.02,HH,정체,102,56,1,5,3183091,3285572000,709470000,75536000,78,398414266,1153002,1090623,187659,385651,438554,375859,356325,499577,6199.0,8530.0,114.0,5603.0,3628.0,2811.0,1890.0,683.0,147,6632,1103053.0,6903.0,2848.0,0.4125742430827177,0.238447052006374,0.3856294364768941,0.3759235115167318,남영동,3.0,1.0,3.0,2243625,77764139,1011864,1231761,14729.0,0.008
20233,11170555,청파동,12644364483,청파동,291,11,6,0.04,0.02,LH,상권확장,99,52,-2,1,2608804,1355315000,250468000,57243000,457,244172572,3232756,4044376,890219,1583878,1340612,1090806,1030643,1340974,1916.0,1649.0,0.0,535.0,922.0,858.0,772.0,478.0,128,20375,1103071.0,18720.0,5993.0,0.3201388888888888,0.367094017094017,0.3518696581196581,0.2810363247863248,청파동,1.0,1.0,1.0,7277132,43451424,3814709,3462423,3565.0,0.003
20233,11170560,원효로1동,12807550434,원효로1동,213,3,10,0.01,0.05,HH,정체,120,57,19,6,4450695,1177521000,226209000,118006000,125,423991122,2507451,2619411,562679,829932,1268677,977490,714494,773588,1970.0,893.0,0.0,441.0,790.0,752.0,529.0,351.0,94,12933,1103072.0,11305.0,2390.0,0.2114108801415302,0.3199469261388766,0.4035382574082264,0.2765148164528969,원효로제1동,6.0,1.0,6.0,5126862,60129344,2661288,2465572,2863.0,0.028
20233,11170570,원효로2동,2001198663,원효로2동,82,6,4,0.07,0.05,HH,정체,133,54,32,3,3817026,326286000,37625000,113790000,119,462855465,2096070,2303557,637737,575219,812407,719149,643080,1012035,2170.0,810.0,0.0,470.0,916.0,836.0,481.0,277.0,69,14528,1103057.0,11847.0,1721.0,0.1452688444331898,0.2442812526377986,0.4312484173208407,0.3244703300413606,,0.0,0.0,0.0,4399627,24404861,2025363,2374264,2980.0,0.0
20233,11170580,효창동,1012365578,효창동,29,2,3,0.07,0.1,LH,상권확장,100,60,-1,9,3523201,176634000,179951000,88023000,187,342185373,1546282,1948835,508911,515825,624590,564640,496767,784382,757.0,552.0,0.0,176.0,336.0,368.0,289.0,140.0,66,9063,1103058.0,7671.0,1180.0,0.1538260982922696,0.266588450006518,0.4137661321861556,0.3196454178073263,,0.0,0.0,0.0,3495117,34909157,1649326,1845789,1309.0,0.0
20233,11170590,용문동,3702477183,용문동,85,2,0,0.02,0.0,HH,정체,116,53,15,2,3568910,390531000,75504000,48538000,176,323872688,1299394,1463380,344406,381029,521826,436763,430566,648181,1709.0,1226.0,0.0,578.0,804.0,816.0,542.0,195.0,54,12606,1103059.0,10006.0,1652.0,0.1651009394363382,0.2585448730761543,0.4089546272236658,0.3325004997001799,,0.0,0.0,0.0,2762774,43558555,1247261,1515510,2935.0,0.0
20233,11170625,한강로동,41667181854,한강로동,775,46,15,0.06,0.02,HH,정체,115,58,14,7,4948344,11583025000,1587871000,191160000,81,780899618,2889712,2787077,507757,1104223,1404247,1075503,779930,805131,21437.0,21964.0,82.0,8869.0,13560.0,12399.0,6381.0,2110.0,242,12463,1103073.0,13144.0,3837.0,0.2919202678027998,0.2885727328058429,0.3568928788800974,0.3545343883140596,한강로동,3.0,1.0,3.0,5676789,53764105,3016227,2660564,43401.0,0.004
20233,11170630,이촌1동,10348453232,이촌1동,142,2,6,0.01,0.04,HH,정체,120,63,19,12,5974291,851361000,402776000,181146000,133,1448413885,2153985,2647522,967185,415894,652509,893055,752581,1120283,3473.0,1949.0,16.0,876.0,1462.0,1523.0,1108.0,437.0,102,28057,1103063.0,19426.0,1500.0,0.0772161021311644,0.2042108514362195,0.4712756100072068,0.3245135385565736,,0.0,0.0,0.0,4801507,72876431,2035588,2765919,5422.0,0.0
