기준_년분기_코드,행정동_코드,행정동,당월_매출_금액,행정동_코드_명_y,점포_수,개업_점포_수,폐업_점포_수,개업_률,폐업_률,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,운영_영업_개월_차이,폐업_영업_개월_차이,월_평균_소득_금액,음식_지출_총금액,의료비_지출_총금액,교육_지출_총금액,아파트_단지_수,아파트_평균_시가,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,집객시설_수,총_상주인구_수,행정동코드,총인구수_합,1인가구수_합,1인_가구비,20_30_인구비,31_50_인구비,51_75_인구비,행정동_명,업소수,전분기대비_유지율,전분기대비_증감업소수,총_유동인구_수,점포수_대비_매출액,유동인구_10_30대,유동인구_40_이상,총_직장인구_수,착한가격_업소수_비중,상권_변화_지표_HH,상권_변화_지표_HL,상권_변화_지표_LH,상권_변화_지표_LL,업소수_log,착한가격_업소수_비중_log,점포수_대비_매출액_log,월_평균_소득_금액_log,음식_지출_총금액_log,의료비_지출_총금액_log,교육_지출_총금액_log,아파트_단지_수_log,아파트_평균_시가_log,총_유동인구_수_log,유동인구_10_30대_log,유동인구_40_이상_log,총_직장인구_수_log,집객시설_수_log,개업_률_log,폐업_률_log,1인_가구비_log,20_30_인구비_log,31_50_인구비_log,소비활성도 축,청년밀집도 축,hier_cluster,kmeans_cluster,hier_cluster_label,kmeans_cluster_label
20233,11350710,상계9동,2337997888,상계9동,45,2,0,0.04,0.0,정체,110,53,9,2,2955988,312828000,354085000,197293000,71,354541080,825048,1065360,409850,198698,260197,261428,275197,485036,806.0,472.0,0.0,162.0,321.0,321.0,361.0,113.0,78,0.17640552812107843,1111073.0,17922.0,1966.0,0.1096975783952683,0.2543800915076442,0.4468251311237585,0.2987947773685973,상계9동,1.0,1.0,1.0,1890408,155866524,868745,1021661,1278.0,0.022,True,False,False,False,0.6931471805599453,0.02176149178151269,0.4442509615286417,14.89934350150207,-0.7789864202047734,-0.17187346196396663,0.3372427092210862,-1.11530231814511,0.23918341562083814,-1.5822118968337715,13.674804920448894,13.836940292176298,-0.48682728055094737,-0.7442687792807567,-0.1814286947703722,-1.886304140645769,-2.2100279867370536,-0.17501110723828006,1.1907361616871528,-0.5315899085506074,-0.6264941114528654,4,0,저소비 지역,중장년 밀집지역
20233,11350720,상계10동,753334153,상계10동,26,0,0,0.0,0.0,다이나믹,90,49,-11,-2,3132098,155980000,162355000,78664000,52,427110577,840585,1078769,319149,270581,290093,288059,308956,442519,202.0,280.0,0.0,74.0,103.0,129.0,140.0,36.0,64,-0.4781088558549115,1111074.0,15258.0,1779.0,0.1165945733385764,0.291322584873509,0.4227945995543321,0.2858828155721589,,0.0,0.0,0.0,1919354,86923170,879823,1039534,482.0,0.0,False,False,False,True,0.0,0.0,-0.5250168310904991,14.957213625513912,-1.3757979153721431,-0.7163471729927163,-0.3654263573104072,-1.4618031086763965,0.5301241890062338,-1.5560052278785204,13.687476029860122,13.854283093778017,-1.123769355787901,-1.150476289049633,-1.9450518942582997,-1.886304140645769,-2.1490525469843402,0.4844278015179676,0.7767017059535732,-0.6428579300459721,0.17684134658929312,4,2,저소비 지역,저소비 지역
20233,11380510,녹번동,14326253558,녹번동,215,4,12,0.02,0.06,다이나믹,92,51,-9,0,3055864,1780754000,869135000,268737000,701,194168619,3026989,3887024,896744,897362,1125109,1110654,1131851,1752293,1653.0,1450.0,0.0,343.0,724.0,854.0,838.0,344.0,148,1.0399521533601777,1112051.0,25851.0,4361.0,0.1686975358786894,0.2550384898069707,0.3888824416850412,0.3560790685079881,녹번동,2.0,0.5,0.0,6914013,199901211,2919215,3994798,3103.0,0.009,False,False,False,True,1.0986122886681098,0.008959741371471904,0.8572416203939573,14.932572925660477,0.7124628670717603,0.4551420498243382,0.57340815641911,1.4323376847595093,-0.7015095703867796,0.6541472016302858,14.886825302485255,15.200503572700145,0.09261049856648987,0.570915512991141,-1.054594528685548,0.880852496438072,-1.77964789606511,-0.16244056984285785,0.15049607584616506,0.8481689262094744,0.23827711852856817,2,3,청년밀집·고소비지역,청년 밀집지역
20233,11380520,불광1동,10295981874,불광1동,199,8,8,0.04,0.04,상권확장,95,54,-6,3,3182963,1348113000,2051696000,310652000,704,213958560,2230816,2782645,698494,617214,681014,749023,807607,1460108,863.0,1133.0,0.0,275.0,482.0,542.0,464.0,233.0,198,2.2115636084566086,1112052.0,33466.0,5081.0,0.1518257335803502,0.2567680631088269,0.4009442419171696,0.3422876949740034,불광제1동,3.0,1.0,0.0,5013461,155215806,1996722,3016738,1996.0,0.015,False,False,True,False,1.3862943611198906,0.014888612493750654,0.4373071594272253,14.97332308194282,0.47377193472369084,1.0548987541417656,0.6841688444570639,1.4370889664813655,-0.5498740482142447,0.09982702067796152,14.507017393894285,14.919686673137267,-0.1955979875738378,1.1685557696584346,-0.1814286947703722,-0.02373523026992307,-1.885021905460787,-0.12957247979830983,0.37926972860240044,0.26872563728811316,-0.8740636345892915,3,0,중장년 밀집지역,중장년 밀집지역
20233,11380530,불광2동,5873998952,불광2동,178,9,7,0.05,0.04,정체,113,53,12,2,2396457,976352000,741238000,168237000,700,142334183,2597736,3018973,783177,751308,795005,820776,909651,1556793,1079.0,1173.0,0.0,87.0,319.0,382.0,496.0,968.0,113,0.6994248138418384,1112072.0,24162.0,5500.0,0.2276301630659713,0.2557735286814005,0.3726098832878073,0.3716165880307921,,0.0,0.0,0.0,5616709,98999982,2329490,3287220,2252.0,0.0,True,False,False,False,0.0,0.0,-0.3090883257082148,14.68950195458755,0.1970843174443976,0.3439944499605947,0.2154960383333693,1.4307494045292481,-1.1866994614160105,0.29577251814690575,14.661159917463086,15.005552780738231,-0.11677380818940612,0.016868713437182443,0.24887724465731914,-0.02373523026992307,-1.4800330588589472,-0.14844504512802015,-0.1696501156236764,-0.014728045276243629,-0.093620942148761,4,0,저소비 지역,중장년 밀집지역
20233,11380551,갈현1동,12766794475,갈현1동,302,14,14,0.05,0.05,다이나믹,94,50,-7,-1,2481200,2161145000,924977000,160850000,565,208463816,2927491,3457913,849390,1049953,992041,925261,969625,1599135,1015.0,972.0,0.0,332.0,470.0,478.0,447.0,260.0,133,0.2709416204446882,1112055.0,19433.0,3567.0,0.1835537487778521,0.2736582102608964,0.3783769875984151,0.3479648021406885,갈현제1동,5.0,1.0,0.0,6385404,126822459,2891384,3494021,1987.0,0.017,False,False,False,True,1.791759469228055,0.0168571170664229,0.10198563416143674,14.724252872081099,0.8784913373777863,0.49862332745431315,0.1811831411387491,1.1923718507076446,-0.5905217774142689,0.5169821218991656,14.87724583818965,15.066563779961454,-0.1985499469070442,0.35148698207220214,0.24887724465731914,0.4307124459461757,-1.695247745505812,0.18023716850541466,-0.05461619775048121,0.8641212220921961,0.4861580779340637,2,3,청년밀집·고소비지역,청년 밀집지역
20233,11380552,갈현2동,10286794879,갈현2동,259,9,14,0.03,0.05,다이나믹,93,49,-8,-2,2539257,1765890000,513985000,816278000,732,153952135,2746110,3385988,1119821,816886,813464,1017202,919074,1445651,1543.0,1438.0,0.0,270.0,597.0,808.0,814.0,492.0,121,0.7419770224515375,1112056.0,24248.0,3983.0,0.1642609699769053,0.2668673705047839,0.4155806664467172,0.3175519630484988,갈현제2동,1.0,1.0,0.0,6132098,119152062,2750171,3381927,2981.0,0.004,False,False,False,True,0.6931471805599453,0.003992021269537453,-0.0015638108243899084,14.747382076517452,0.7052745880501149,0.08834012335736363,1.4224315067416609,1.4804823816136659,-1.064110332235025,0.44717498067526235,14.827173649527726,15.033956223346678,0.06641019794513685,0.15732415104306474,-0.6158922438835565,0.4307124459461757,-1.8062988355559948,0.058037573743830714,0.6478066425533777,0.912826230695024,0.30183525539198636,2,3,청년밀집·고소비지역,청년 밀집지역
20233,11380560,구산동,2004918252,구산동,120,6,6,0.05,0.05,다이나믹,98,49,-3,-2,2602334,459700000,605807000,331232000,784,151231930,2227501,2935727,1006865,615550,651422,780702,792632,1316056,841.0,732.0,0.0,186.0,294.0,349.0,506.0,238.0,127,1.0636410117614534,1112057.0,26635.0,2986.0,0.1121081284024779,0.2469682748263563,0.4036418246667918,0.3493899005068518,,0.0,0.0,0.0,5163228,50122956,2273837,2889390,1573.0,0.0,False,False,False,True,0.0,0.0,-1.4387985395881293,14.771919292614637,-0.4488864955866966,0.2031121879362608,0.7331878795346126,1.5568377792476438,-1.09196272602323,0.15059077545163058,14.636979270864217,14.876555965145284,-0.3511649113602006,0.25669968232634016,0.24887724465731914,0.4307124459461757,-2.1882914412519643,-0.31881028144843016,0.4294919372017637,-0.04429837893657723,0.02009996068824323,4,0,저소비 지역,중장년 밀집지역
20233,11380570,대조동,15786869388,대조동,380,8,15,0.02,0.04,상권확장,99,51,-2,0,2535013,2107983000,2004786000,214039000,605,149585430,5394478,6811185,1598055,1834247,2141872,1910090,1844517,2876882,1054.0,1056.0,0.0,222.0,467.0,585.0,505.0,331.0,205,0.8736914619882606,1112058.0,26280.0,6826.0,0.2597412480974125,0.2890410958904109,0.379490106544901,0.331468797564688,대조동,4.0,1.0,1.0,12205663,124633179,5574174,6631489,2110.0,0.011,False,False,True,False,1.6094379124341003,0.010939940038334364,0.07308348551936718,14.7457093231994,0.8571319462015862,1.0387482597852489,0.39949936090119725,1.2684760482971265,-1.1090658097025363,1.6343105784521437,15.53365470289849,15.707339922165263,-0.1593173455166119,1.2398955575538744,-1.054594528685548,-0.02373523026992307,-1.3480693431318944,0.4461928916353096,-0.032615282486531845,0.559465855253281,-0.36475681316058195,3,0,중장년 밀집지역,중장년 밀집지역
20233,11380580,응암1동,12446336251,응암1동,212,10,6,0.05,0.03,다이나믹,96,51,-5,0,2726133,1497775000,1969007000,631295000,472,167372789,2461858,3116447,910712,704398,931669,1005027,808041,1218459,1231.0,969.0,0.0,203.0,362.0,531.0,517.0,587.0,133,0.33180882605907736,1112059.0,25449.0,4930.0,0.1937207748830995,0.264922000864474,0.4088176352705411,0.3262603638649848,응암제1동,3.0,1.0,2.0,5578305,176127399,2546779,3031527,2200.0,0.014,False,False,False,True,1.3862943611198906,0.013902905168991422,0.6470880282147431,14.81839467948352,0.5640534553501311,1.0261739176232645,1.2260505862848021,0.99227613985796,-0.9335253493111989,0.28394029702811846,14.750339981449422,14.924577010936199,-0.13203348609702847,0.35148698207220214,0.24887724465731914,-0.4825737732788407,-1.6413374614391087,0.022457724603381874,0.5249196386893573,0.8452296827833576,0.04455179306463439,2,3,청년밀집·고소비지역,청년 밀집지역
20233,11380590,응암2동,1397056048,응암2동,103,10,12,0.1,0.12,다이나믹,77,48,-24,-3,3510245,263366000,216788000,279040000,221,279039358,1692281,2090569,754141,334524,606007,772854,510332,804994,283.0,140.0,0.0,47.0,47.0,104.0,130.0,95.0,91,-0.5595941419296703,1112060.0,18022.0,2077.0,0.115248030185329,0.2358783708800355,0.4415159249805793,0.3226057041393852,응암제2동,1.0,1.0,0.0,3782850,40690950,1694672,2088180,423.0,0.01,False,False,False,True,0.6931471805599453,0.009950330853168083,-1.7848174812206403,15.071196393575903,-0.9265833805322121,-0.5144544420481225,0.602158178759227,0.14802464511262026,-0.13495720887351043,-0.3858982118231691,14.342999769746665,14.551803431165617,-1.2090591904655332,-0.42774190705573384,2.340725460002026,3.495609367189883,-2.1606686889188707,-0.5422367563336515,1.1012106242349093,-1.3196967756147504,0.9308321145343369,4,2,저소비 지역,저소비 지역
20233,11380600,응암3동,11800047960,응암3동,294,10,5,0.03,0.02,상권축소,103,49,2,-2,2360910,1796642000,684199000,154828000,577,132152795,3686664,4464831,1107831,1058256,1214565,1367638,1257229,2145979,630.0,672.0,0.0,98.0,317.0,400.0,329.0,158.0,138,0.4511304831914294,1112073.0,21853.0,4907.0,0.2245458289479705,0.2551594746716698,0.377293735413902,0.3675467899144282,응암제3동,2.0,1.0,0.0,8151495,120408651,3380652,4770846,1302.0,0.007,False,True,False,False,1.0986122886681098,0.006975613736425242,0.015848678540773736,14.674557695900171,0.7200803125459541,0.2880822713389685,0.1520239023096575,1.2157546401469168,-1.302656143368773,0.9381008534453972,15.033579148264787,15.378034205628932,-0.4746743367027715,0.4272653308327707,-0.6158922438835565,-0.9458888605493475,-1.493675454780249,-0.16013418373305982,-0.07608902282850473,-0.9104411141932818,0.2588392437467133,4,2,저소비 지역,저소비 지역
20233,11380625,역촌동,8851421512,역촌동,344,16,20,0.05,0.06,다이나믹,97,48,-4,-3,2521877,1761727000,1155926000,400596000,1242,155478218,5260754,6581121,1872348,1567468,1777643,1933868,1881205,2809344,1563.0,1697.0,0.0,528.0,665.0,857.0,756.0,454.0,176,2.9205843008836823,1112074.0,38684.0,5804.0,0.1500361906731465,0.2680694860924413,0.4089029055940441,0.3230276083135146,역촌동,5.0,0.8333333333333334,-1.0,11841875,77192628,5217459,6624417,3260.0,0.015,False,False,False,True,1.791759469228055,0.014888612493750654,-0.7220664270034816,14.740514023500856,0.7032504996762651,0.654258440428963,0.8784852538058721,2.0687062690531306,-1.0486993610973012,1.5821282281263587,15.467521059732995,15.706272925964333,0.12485111326931271,0.9267047708872236,0.24887724465731914,0.880852496438072,-1.8968787428327756,0.07989425015001457,0.5264816526708803,0.8807612782831561,0.43858806892061974,2,3,청년밀집·고소비지역,청년 밀집지역
20233,11380631,신사1동,5450974191,신사1동,137,3,3,0.02,0.02,다이나믹,99,49,-2,-2,2637581,1105572000,478241000,109770000,639,162425905,2754265,3382954,958469,786342,954138,998824,930481,1508965,722.0,639.0,0.0,127.0,294.0,316.0,343.0,281.0,94,0.6063144398479351,1112065.0,22387.0,3031.0,0.1353910751775584,0.2721222137847858,0.4018850225577344,0.3259927636574798,신사제1동,1.0,1.0,0.0,6137219,119364396,2698949,3438270,1361.0,0.007,False,False,False,True,0.6931471805599453,0.006975613736425242,0.001391345972341153,14.785372767195362,0.30367709347396094,0.03800964012794488,-0.1107995018784534,1.3293080212154376,-0.9803987662214134,0.4486145983405375,14.808372995934246,15.050478995872709,-0.44572561785820974,-0.361140602439972,-1.054594528685548,-0.9458888605493475,-1.9995878351700782,0.15286475477532696,0.39682296847660914,0.5833257962070428,0.0870546108506689,2,3,청년밀집·고소비지역,청년 밀집지역
20233,11380632,신사2동,1175538832,신사2동,62,3,2,0.05,0.03,다이나믹,99,49,-2,-2,2635300,273304000,108450000,162591000,368,156384400,1415999,1561978,505856,341855,419055,476272,442707,792231,717.0,260.0,0.0,90.0,194.0,259.0,254.0,180.0,82,-0.10994451486841714,1112066.0,17204.0,2413.0,0.1402580795163915,0.2541850732387817,0.3993838642176238,0.3464310625435945,,0.0,0.0,0.0,2977977,56880909,1266766,1711210,977.0,0.0,False,False,False,True,0.0,0.0,-1.228869097942455,14.784507585469363,-0.8948186184099026,-0.9980945496165778,0.1894100171724713,0.7153568584987903,-1.0396198058136619,-0.7984749336429545,14.051977754006366,14.352711280585526,-0.6622544348665482,-0.6415793716122706,0.24887724465731914,-0.4825737732788407,-1.9642711282785956,-0.17874075994418653,0.3500649358787152,-0.34494882582485437,-0.07338246778831096,4,0,저소비 지역,중장년 밀집지역
20233,11380640,증산동,1982481270,증산동,117,2,3,0.02,0.03,정체,113,53,12,2,2838450,469603000,289206000,122898000,261,264412580,1510799,1858801,492337,423563,532680,516573,535445,869002,1282.0,676.0,0.0,247.0,525.0,537.0,452.0,197.0,83,-0.7704907840854726,1112067.0,15745.0,2137.0,0.1357256271832327,0.2499841219434741,0.3920609717370594,0.3579549063194664,,0.0,0.0,0.0,3369600,50832852,1448580,1921020,1958.0,0.0,True,False,False,False,0.0,0.0,-1.4154559087037482,14.858768686500307,-0.4306084328077037,-0.3132008350990373,-0.024471739111755673,0.3331125837047205,-0.21907806265585628,-0.5854036525268274,14.186094324214254,14.46836685294064,-0.20815359508135675,-0.6166898522101217,-1.054594528685548,-0.4825737732788407,-1.997119878215978,-0.25978479862621295,0.21146395188921566,-0.3772544736829242,-0.337180067257617,4,0,저소비 지역,중장년 밀집지역
